Step	Time	Epot	Ekin	Etot	T
242	0.000242	0.001368	945.909468	945.910836	1.047447
243	0.000243	0.001380	945.911861	945.913241	1.047450
244	0.000244	0.001392	945.914257	945.915649	1.047452
245	0.000245	0.001404	945.916658	945.918062	1.047455
246	0.000246	0.001416	945.919063	945.920479	1.047458
247	0.000247	0.001428	945.921472	945.922900	1.047460
248	0.000248	0.001440	945.923885	945.925325	1.047463
249	0.000249	0.001452	945.926303	945.927755	1.047466
250	0.000250	0.001465	945.928724	945.930189	1.047468
251	0.000251	0.001477	945.931150	945.932627	1.047471
252	0.000252	0.001489	945.933580	945.935070	1.047474
253	0.000253	0.001502	945.936014	945.937516	1.047476
254	0.000254	0.001514	945.938453	945.939967	1.047479
255	0.000255	0.001527	945.940895	945.942422	1.047482
256	0.000256	0.001540	945.943342	945.944881	1.047484
257	0.000257	0.001552	945.945792	945.947345	1.047487
258	0.000258	0.001565	945.948247	945.949813	1.047490
259	0.000259	0.001578	945.950707	945.952285	1.047493
260	0.000260	0.001591	945.953170	945.954761	1.047495
261	0.000261	0.001604	945.955638	945.957241	1.047498
262	0.000262	0.001617	945.958109	945.959726	1.047501
263	0.000263	0.001630	945.960585	945.962215	1.047503
264	0.000264	0.001643	945.963065	945.964708	1.047506
265	0.000265	0.001656	945.965549	945.967206	1.047509
266	0.000266	0.001670	945.968038	945.969707	1.047512
267	0.000267	0.001683	945.970530	945.972213	1.047514
268	0.000268	0.001696	945.973027	945.974723	1.047517
269	0.000269	0.001710	945.975528	945.977238	1.047520
270	0.000270	0.001723	945.978033	945.979756	1.047523
271	0.000271	0.001737	945.980542	945.982279	1.047526
272	0.000272	0.001750	945.983056	945.984806	1.047528
273	0.000273	0.001764	945.985573	945.987337	1.047531
274	0.000274	0.001778	945.988095	945.989873	1.047534
275	0.000275	0.001792	945.990621	945.992413	1.047537
276	0.000276	0.001806	945.993151	945.994957	1.047540
277	0.000277	0.001820	945.995685	945.997505	1.047542
278	0.000278	0.001834	945.998224	946.000057	1.047545
279	0.000279	0.001848	946.000766	946.002614	1.047548
280	0.000280	0.001862	946.003313	946.005175	1.047551
281	0.000281	0.001876	946.005864	946.007740	1.047554
282	0.000282	0.001890	946.008419	946.010309	1.047556
283	0.000283	0.001905	946.010979	946.012883	1.047559
284	0.000284	0.001919	946.013542	946.015461	1.047562
285	0.000285	0.001933	946.016110	946.018043	1.047565
286	0.000286	0.001948	946.018681	946.020629	1.047568
287	0.000287	0.001962	946.021257	946.023220	1.047571
288	0.000288	0.001977	946.023837	946.025815	1.047573
289	0.000289	0.001992	946.026422	946.028414	1.047576
290	0.000290	0.002007	946.029010	946.031017	1.047579
291	0.000291	0.002021	946.031603	946.033624	1.047582
292	0.000292	0.002036	946.034200	946.036236	1.047585
293	0.000293	0.002051	946.036801	946.038852	1.047588
294	0.000294	0.002066	946.039406	946.041472	1.047591
295	0.000295	0.002081	946.042015	946.044096	1.047594
296	0.000296	0.002097	946.044628	946.046725	1.047596
297	0.000297	0.002112	946.047246	946.049358	1.047599
298	0.000298	0.002127	946.049868	946.051995	1.047602
299	0.000299	0.002142	946.052494	946.054636	1.047605
300	0.000300	0.002158	946.055124	946.057282	1.047608
301	0.000301	0.002173	946.057758	946.059931	1.047611
302	0.000302	0.002189	946.060397	946.062585	1.047614
303	0.000303	0.002204	946.063039	946.065244	1.047617
304	0.000304	0.002220	946.065686	946.067906	1.047620
305	0.000305	0.002236	946.068337	946.070573	1.047623
306	0.000306	0.002252	946.070992	946.073244	1.047626
307	0.000307	0.002268	946.073651	946.075919	1.047629
308	0.000308	0.002283	946.076315	946.078598	1.047632
309	0.000309	0.002299	946.078982	946.081282	1.047634
310	0.000310	0.002316	946.081654	946.083970	1.047637
311	0.000311	0.002332	946.084330	946.086662	1.047640
312	0.000312	0.002348	946.087010	946.089358	1.047643
313	0.000313	0.002364	946.089694	946.092059	1.047646
314	0.000314	0.002381	946.092383	946.094763	1.047649
315	0.000315	0.002397	946.095075	946.097472	1.047652
316	0.000316	0.002413	946.097772	946.100186	1.047655
317	0.000317	0.002430	946.100473	946.102903	1.047658
318	0.000318	0.002447	946.103178	946.105625	1.047661
319	0.000319	0.002463	946.105887	946.108350	1.047664
320	0.000320	0.002480	946.108601	946.111081	1.047667
321	0.000321	0.002497	946.111318	946.113815	1.047670
322	0.000322	0.002514	946.114040	946.116554	1.047673
323	0.000323	0.002531	946.116766	946.119296	1.047676
324	0.000324	0.002548	946.119496	946.122043	1.047679
325	0.000325	0.002565	946.122230	946.124795	1.047682
326	0.000326	0.002582	946.124968	946.127550	1.047685
327	0.000327	0.002599	946.127711	946.130310	1.047688
328	0.000328	0.002617	946.130457	946.133074	1.047691
329	0.000329	0.002634	946.133208	946.135842	1.047694
330	0.000330	0.002651	946.135963	946.138614	1.047698
